Year,Quarter,Report Type,PDF Link,Format
,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-1.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Marzo.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADOS-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2.pdf,text
,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-3°TRIMESTRE.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Junio.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Junio.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4°TRI.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Finalidad-y-Funcion-Junio.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-2.pdf,text
,3Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-3°TRIMESTRE.pdf,text
2022.0,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-4°TRE-2022.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-por-Fuente-de-Financiamiento-3er-Trimestres.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-1.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-2023-4°TRI.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Recursos-Junio.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-1.pdf,text
2022.0,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADOS-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRI-2022.pdf,text
2022.0,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADOS-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-3°TRI-2022.pdf,text
,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION.pdf,text
,Q1,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/frontend/public/data/local/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2.pdf,text
