hash,filename,category,year,size_mb,web_url
2f6a43c436c866955b0b3bc2d153798fef4875d54a3d71bf68e37c5fafb16972,Situacion-Economica-Financiera-al-30-06-23.pdf,financial_statements,unknown,0.26,/data/documents/pdfs/financial_statements/unknown/2f6a43c4_Situacion-Economica-Financiera-al-30-06-23.pdf
b587c3d0c2d04c7d629795390b7e350438639686d9c63d05e3d44337a7efafe6,ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf,budget_execution,unknown,0.12,/data/documents/pdfs/budget_execution/unknown/b587c3d0_ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf
9e3a6c534f421d24ca521a122e99b139fab7e1be7801dc2ae0367541ad9236ab,LICITACION-PUBLICA-N°10.pdf,contracts,unknown,0.69,/data/documents/pdfs/contracts/unknown/9e3a6c53_LICITACION-PUBLICA-N°10.pdf
7232b7070585c0069593be5ac4c0ca503144c30f4df83cc325c148b43ddb81e7,ESTADO-DE-EJECUCION-DE-RECURSOS-2.pdf,budget_execution,unknown,0.15,/data/documents/pdfs/budget_execution/unknown/7232b707_ESTADO-DE-EJECUCION-DE-RECURSOS-2.pdf
c96a1ed230645586c5ebd285fcc0b835423a7c2aa4f9e41b2a00aad9a22e9211,Situacion-Economico-Financiera-Junio.pdf,financial_statements,unknown,0.21,/data/documents/pdfs/financial_statements/unknown/c96a1ed2_Situacion-Economico-Financiera-Junio.pdf
32b51dd36b8b5ddeefa9aeb2ea64acbccb1d2b17c32d8aafa5fd4a5a09be80d5,Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf,budget_execution,unknown,0.28,/data/documents/pdfs/budget_execution/unknown/32b51dd3_Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Marzo.pdf
4306f1e488451b31f7ac5ba558f7a57b2cd9eca3574565da7cd29e37fb308eea,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,budget_execution,unknown,0.06,/data/documents/pdfs/budget_execution/unknown/4306f1e4_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf
ae54edfbcd1d15475e157fbbb692f7e604f97cb93db9a699769927d1276c941f,ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,budget_execution,unknown,0.08,/data/documents/pdfs/budget_execution/unknown/ae54edfb_ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf
4e83b6de075c5ac255c48f0f04244fb9a86cadb421617d68c688590c7fbc660c,ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-3°TRIMESTRE.pdf,budget_execution,unknown,0.11,/data/documents/pdfs/budget_execution/unknown/4e83b6de_ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-3°TRIMESTRE.pdf
1d993b326aa0b8c74e0021bfe79bfb0afa4c86cfc201249813ac706553598aa8,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,budget_execution,2023,0.08,/data/documents/pdfs/budget_execution/2023/1d993b32_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf
